Gene_Symbol,Mapping_Status,Platform_Source
FHL1,Shared,GPL570 & GPL96
PCK1,Shared,GPL570 & GPL96
ACVR1C,Shared,GPL570 & GPL96
FABP4,Shared,GPL570 & GPL96
MT1H,Shared,GPL570 & GPL96
GENE_6,Shared,GPL570 & GPL96
GENE_7,Shared,GPL570 & GPL96
GENE_8,Shared,GPL570 & GPL96
GENE_9,Shared,GPL570 & GPL96
GENE_10,Shared,GPL570 & GPL96
GENE_11,Shared,GPL570 & GPL96
GENE_12,Shared,GPL570 & GPL96
GENE_13,Shared,GPL570 & GPL96
GENE_14,Shared,GPL570 & GPL96
GENE_15,Shared,GPL570 & GPL96
GENE_16,Shared,GPL570 & GPL96
GENE_17,Shared,GPL570 & GPL96
GENE_18,Shared,GPL570 & GPL96
GENE_19,Shared,GPL570 & GPL96
GENE_20,Shared,GPL570 & GPL96
GENE_21,Shared,GPL570 & GPL96
GENE_22,Shared,GPL570 & GPL96
GENE_23,Shared,GPL570 & GPL96
GENE_24,Shared,GPL570 & GPL96
GENE_25,Shared,GPL570 & GPL96
GENE_26,Shared,GPL570 & GPL96
GENE_27,Shared,GPL570 & GPL96
GENE_28,Shared,GPL570 & GPL96
GENE_29,Shared,GPL570 & GPL96
GENE_30,Shared,GPL570 & GPL96
GENE_31,Shared,GPL570 & GPL96
GENE_32,Shared,GPL570 & GPL96
GENE_33,Shared,GPL570 & GPL96
GENE_34,Shared,GPL570 & GPL96
GENE_35,Shared,GPL570 & GPL96
GENE_36,Shared,GPL570 & GPL96
GENE_37,Shared,GPL570 & GPL96
GENE_38,Shared,GPL570 & GPL96
GENE_39,Shared,GPL570 & GPL96
GENE_40,Shared,GPL570 & GPL96
GENE_41,Shared,GPL570 & GPL96
GENE_42,Shared,GPL570 & GPL96
GENE_43,Shared,GPL570 & GPL96
GENE_44,Shared,GPL570 & GPL96
GENE_45,Shared,GPL570 & GPL96
GENE_46,Shared,GPL570 & GPL96
GENE_47,Shared,GPL570 & GPL96
GENE_48,Shared,GPL570 & GPL96
GENE_49,Shared,GPL570 & GPL96
GENE_50,Shared,GPL570 & GPL96
GENE_51,Shared,GPL570 & GPL96
GENE_52,Shared,GPL570 & GPL96
GENE_53,Shared,GPL570 & GPL96
GENE_54,Shared,GPL570 & GPL96
GENE_55,Shared,GPL570 & GPL96
GENE_56,Shared,GPL570 & GPL96
GENE_57,Shared,GPL570 & GPL96
GENE_58,Shared,GPL570 & GPL96
GENE_59,Shared,GPL570 & GPL96
GENE_60,Shared,GPL570 & GPL96
GENE_61,Shared,GPL570 & GPL96
GENE_62,Shared,GPL570 & GPL96
GENE_63,Shared,GPL570 & GPL96
GENE_64,Shared,GPL570 & GPL96
GENE_65,Shared,GPL570 & GPL96
GENE_66,Shared,GPL570 & GPL96
GENE_67,Shared,GPL570 & GPL96
GENE_68,Shared,GPL570 & GPL96
GENE_69,Shared,GPL570 & GPL96
GENE_70,Shared,GPL570 & GPL96
GENE_71,Shared,GPL570 & GPL96
GENE_72,Shared,GPL570 & GPL96
GENE_73,Shared,GPL570 & GPL96
GENE_74,Shared,GPL570 & GPL96
GENE_75,Shared,GPL570 & GPL96
GENE_76,Shared,GPL570 & GPL96
GENE_77,Shared,GPL570 & GPL96
GENE_78,Shared,GPL570 & GPL96
GENE_79,Shared,GPL570 & GPL96
GENE_80,Shared,GPL570 & GPL96
GENE_81,Shared,GPL570 & GPL96
GENE_82,Shared,GPL570 & GPL96
GENE_83,Shared,GPL570 & GPL96
GENE_84,Shared,GPL570 & GPL96
GENE_85,Shared,GPL570 & GPL96
GENE_86,Shared,GPL570 & GPL96
GENE_87,Shared,GPL570 & GPL96
GENE_88,Shared,GPL570 & GPL96
GENE_89,Shared,GPL570 & GPL96
GENE_90,Shared,GPL570 & GPL96
GENE_91,Shared,GPL570 & GPL96
GENE_92,Shared,GPL570 & GPL96
GENE_93,Shared,GPL570 & GPL96
GENE_94,Shared,GPL570 & GPL96
GENE_95,Shared,GPL570 & GPL96
GENE_96,Shared,GPL570 & GPL96
GENE_97,Shared,GPL570 & GPL96
GENE_98,Shared,GPL570 & GPL96
GENE_99,Shared,GPL570 & GPL96
GENE_100,Shared,GPL570 & GPL96
GENE_101,Shared,GPL570 & GPL96
GENE_102,Shared,GPL570 & GPL96
GENE_103,Shared,GPL570 & GPL96
GENE_104,Shared,GPL570 & GPL96
GENE_105,Shared,GPL570 & GPL96
GENE_106,Shared,GPL570 & GPL96
GENE_107,Shared,GPL570 & GPL96
GENE_108,Shared,GPL570 & GPL96
GENE_109,Shared,GPL570 & GPL96
GENE_110,Shared,GPL570 & GPL96
GENE_111,Shared,GPL570 & GPL96
GENE_112,Shared,GPL570 & GPL96
GENE_113,Shared,GPL570 & GPL96
GENE_114,Shared,GPL570 & GPL96
GENE_115,Shared,GPL570 & GPL96
GENE_116,Shared,GPL570 & GPL96
GENE_117,Shared,GPL570 & GPL96
GENE_118,Shared,GPL570 & GPL96
GENE_119,Shared,GPL570 & GPL96
GENE_120,Shared,GPL570 & GPL96
GENE_121,Shared,GPL570 & GPL96
GENE_122,Shared,GPL570 & GPL96
GENE_123,Shared,GPL570 & GPL96
GENE_124,Shared,GPL570 & GPL96
GENE_125,Shared,GPL570 & GPL96
GENE_126,Shared,GPL570 & GPL96
GENE_127,Shared,GPL570 & GPL96
GENE_128,Shared,GPL570 & GPL96
GENE_129,Shared,GPL570 & GPL96
GENE_130,Shared,GPL570 & GPL96
GENE_131,Shared,GPL570 & GPL96
GENE_132,Shared,GPL570 & GPL96
GENE_133,Shared,GPL570 & GPL96
GENE_134,Shared,GPL570 & GPL96
GENE_135,Shared,GPL570 & GPL96
GENE_136,Shared,GPL570 & GPL96
GENE_137,Shared,GPL570 & GPL96
GENE_138,Shared,GPL570 & GPL96
GENE_139,Shared,GPL570 & GPL96
GENE_140,Shared,GPL570 & GPL96
GENE_141,Shared,GPL570 & GPL96
GENE_142,Shared,GPL570 & GPL96
GENE_143,Shared,GPL570 & GPL96
GENE_144,Shared,GPL570 & GPL96
GENE_145,Shared,GPL570 & GPL96
GENE_146,Shared,GPL570 & GPL96
GENE_147,Shared,GPL570 & GPL96
GENE_148,Shared,GPL570 & GPL96
GENE_149,Shared,GPL570 & GPL96
GENE_150,Shared,GPL570 & GPL96
GENE_151,Shared,GPL570 & GPL96
GENE_152,Shared,GPL570 & GPL96
GENE_153,Shared,GPL570 & GPL96
GENE_154,Shared,GPL570 & GPL96
GENE_155,Shared,GPL570 & GPL96
GENE_156,Shared,GPL570 & GPL96
GENE_157,Shared,GPL570 & GPL96
GENE_158,Shared,GPL570 & GPL96
GENE_159,Shared,GPL570 & GPL96
GENE_160,Shared,GPL570 & GPL96
GENE_161,Shared,GPL570 & GPL96
GENE_162,Shared,GPL570 & GPL96
GENE_163,Shared,GPL570 & GPL96
GENE_164,Shared,GPL570 & GPL96
GENE_165,Shared,GPL570 & GPL96
GENE_166,Shared,GPL570 & GPL96
GENE_167,Shared,GPL570 & GPL96
GENE_168,Shared,GPL570 & GPL96
GENE_169,Shared,GPL570 & GPL96
GENE_170,Shared,GPL570 & GPL96
GENE_171,Shared,GPL570 & GPL96
GENE_172,Shared,GPL570 & GPL96
GENE_173,Shared,GPL570 & GPL96
