Gene_Symbol,Probe_ID_GPL570,Probe_ID_GPL96,Mapping_Status,Platform_Source,Gene_Title,Mapping_Confidence
FHL1,204540_at,204540_at,Shared,GPL570 & GPL96,Four and a half LIM domains 1,High
PCK1,"205696_s_at, 205695_at","205696_s_at, 205695_at",Shared,GPL570 & GPL96,Phosphoenolpyruvate carboxykinase 1,High
ACVR1C,210552_s_at,210552_s_at,Shared,GPL570 & GPL96,Activin A receptor type 1C,High
FABP4,"205905_s_at, 205906_at","205905_s_at, 205906_at",Shared,GPL570 & GPL96,Fatty acid binding protein 4,High
MT1H,"216857_at, 214590_s_at","216857_at, 214590_s_at",Shared,GPL570 & GPL96,Metallothionein 1H,High
GENE_00001,probe_gpl570_00001,probe_gpl96_00001,Shared,GPL570 & GPL96,Gene 1,High
GENE_00002,probe_gpl570_00002,probe_gpl96_00002,Shared,GPL570 & GPL96,Gene 2,High
GENE_00003,probe_gpl570_00003,probe_gpl96_00003,Shared,GPL570 & GPL96,Gene 3,High
GENE_00004,probe_gpl570_00004,probe_gpl96_00004,Shared,GPL570 & GPL96,Gene 4,High
GENE_00005,probe_gpl570_00005,probe_gpl96_00005,Shared,GPL570 & GPL96,Gene 5,High
GENE_00006,probe_gpl570_00006,probe_gpl96_00006,Shared,GPL570 & GPL96,Gene 6,High
GENE_00007,probe_gpl570_00007,probe_gpl96_00007,Shared,GPL570 & GPL96,Gene 7,High
GENE_00008,probe_gpl570_00008,probe_gpl96_00008,Shared,GPL570 & GPL96,Gene 8,High
GENE_00009,probe_gpl570_00009,probe_gpl96_00009,Shared,GPL570 & GPL96,Gene 9,High
GENE_00010,probe_gpl570_00010,probe_gpl96_00010,Shared,GPL570 & GPL96,Gene 10,High
GENE_00011,probe_gpl570_00011,probe_gpl96_00011,Shared,GPL570 & GPL96,Gene 11,High
GENE_00012,probe_gpl570_00012,probe_gpl96_00012,Shared,GPL570 & GPL96,Gene 12,High
GENE_00013,probe_gpl570_00013,probe_gpl96_00013,Shared,GPL570 & GPL96,Gene 13,High
GENE_00014,probe_gpl570_00014,probe_gpl96_00014,Shared,GPL570 & GPL96,Gene 14,High
GENE_00015,probe_gpl570_00015,probe_gpl96_00015,Shared,GPL570 & GPL96,Gene 15,High
GENE_00016,probe_gpl570_00016,probe_gpl96_00016,Shared,GPL570 & GPL96,Gene 16,High
GENE_00017,probe_gpl570_00017,probe_gpl96_00017,Shared,GPL570 & GPL96,Gene 17,High
GENE_00018,probe_gpl570_00018,probe_gpl96_00018,Shared,GPL570 & GPL96,Gene 18,High
GENE_00019,probe_gpl570_00019,probe_gpl96_00019,Shared,GPL570 & GPL96,Gene 19,High
GENE_00020,probe_gpl570_00020,probe_gpl96_00020,Shared,GPL570 & GPL96,Gene 20,High
GENE_00021,probe_gpl570_00021,probe_gpl96_00021,Shared,GPL570 & GPL96,Gene 21,High
GENE_00022,probe_gpl570_00022,probe_gpl96_00022,Shared,GPL570 & GPL96,Gene 22,High
GENE_00023,probe_gpl570_00023,probe_gpl96_00023,Shared,GPL570 & GPL96,Gene 23,High
GENE_00024,probe_gpl570_00024,probe_gpl96_00024,Shared,GPL570 & GPL96,Gene 24,High
GENE_00025,probe_gpl570_00025,probe_gpl96_00025,Shared,GPL570 & GPL96,Gene 25,High
GENE_00026,probe_gpl570_00026,probe_gpl96_00026,Shared,GPL570 & GPL96,Gene 26,High
GENE_00027,probe_gpl570_00027,probe_gpl96_00027,Shared,GPL570 & GPL96,Gene 27,High
GENE_00028,probe_gpl570_00028,probe_gpl96_00028,Shared,GPL570 & GPL96,Gene 28,High
GENE_00029,probe_gpl570_00029,probe_gpl96_00029,Shared,GPL570 & GPL96,Gene 29,High
GENE_00030,probe_gpl570_00030,probe_gpl96_00030,Shared,GPL570 & GPL96,Gene 30,High
GENE_00031,probe_gpl570_00031,probe_gpl96_00031,Shared,GPL570 & GPL96,Gene 31,High
GENE_00032,probe_gpl570_00032,probe_gpl96_00032,Shared,GPL570 & GPL96,Gene 32,High
GENE_00033,probe_gpl570_00033,probe_gpl96_00033,Shared,GPL570 & GPL96,Gene 33,High
GENE_00034,probe_gpl570_00034,probe_gpl96_00034,Shared,GPL570 & GPL96,Gene 34,High
GENE_00035,probe_gpl570_00035,probe_gpl96_00035,Shared,GPL570 & GPL96,Gene 35,High
GENE_00036,probe_gpl570_00036,probe_gpl96_00036,Shared,GPL570 & GPL96,Gene 36,High
GENE_00037,probe_gpl570_00037,probe_gpl96_00037,Shared,GPL570 & GPL96,Gene 37,High
GENE_00038,probe_gpl570_00038,probe_gpl96_00038,Shared,GPL570 & GPL96,Gene 38,High
GENE_00039,probe_gpl570_00039,probe_gpl96_00039,Shared,GPL570 & GPL96,Gene 39,High
GENE_00040,probe_gpl570_00040,probe_gpl96_00040,Shared,GPL570 & GPL96,Gene 40,High
GENE_00041,probe_gpl570_00041,probe_gpl96_00041,Shared,GPL570 & GPL96,Gene 41,High
GENE_00042,probe_gpl570_00042,probe_gpl96_00042,Shared,GPL570 & GPL96,Gene 42,High
GENE_00043,probe_gpl570_00043,probe_gpl96_00043,Shared,GPL570 & GPL96,Gene 43,High
GENE_00044,probe_gpl570_00044,probe_gpl96_00044,Shared,GPL570 & GPL96,Gene 44,High
GENE_00045,probe_gpl570_00045,probe_gpl96_00045,Shared,GPL570 & GPL96,Gene 45,High
GENE_00046,probe_gpl570_00046,probe_gpl96_00046,Shared,GPL570 & GPL96,Gene 46,High
